Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15000016,CEIP Plurilingüe San Marcos,Campo da Feira s/n,Abegondo,A Coruña,15318,881880201,CEIP,43.229183,-8.28658,Pública,Non,Si
15000107,CEIP A Maía,"Rúa Peregrina, s/n (Bertamiráns)",Ames,A Coruña,15220,881866002,CEIP,42.867485,-8.657342,Pública,Non,Si
15000132,CPR Plurilingüe Alca,Lugar Biduído de Arriba 36,Ames,A Coruña,15895,981531103,CPR,42.846325,-8.600729,Privada,Si,Non
15000338,CPI As Mirandas,Avenida Celso Emilio Ferreiro 4,Ares,A Coruña,15624,881930020,CPI,43.429363,-8.246173,Pública,Non,Si
15000363,CEIP Ponte dos Brozos,"Avenida Arsenio Iglesias, 34 (Sabon)",Arteixo,A Coruña,15142,881960506,CEIP,43.30694,-8.510333,Pública,Non,Si
15000545,EMUSPR Presto Vivace,"Rúa Posse, 37, 1º",A Coruña,A Coruña,15009,981131545,EMUSPR,43.35442,-8.40064,Privada,Non,Non
15000569,CEIP San Xosé Obreiro,"Travesa de Meiras, s/n (Meicende)",Arteixo,A Coruña,15140,881880214,CEIP,43.345356,-8.447119,Pública,Non,Si
15000600,CPR Plurilingüe Ntra. Sra. del Rosario,Rúa Carmen 22,Arzúa,A Coruña,15810,981500035,CPR,42.926342,-8.164634,Privada,Si,Non
15000612,CEIP de Arzúa,Rúa Baltasar Pardal s/n,Arzúa,A Coruña,15810,981500291,CEIP,42.929714,-8.15723,Pública,Non,Si
15001033,CFEA de Guísamo,Lugar de Bos 14,Bergondo,A Coruña,15640,881881055,CFEA,43.30938,-8.278413,Pública,Non,Non
15001070,CPI de Cruz do Sar,Rúa A Senra 33,Bergondo,A Coruña,15165,881960215,CPI,43.319736,-8.22662,Pública,Non,Si
15001112,CPR Plurilingüe Nuestra Señora del Carmen,Avenida de Castela 146,Betanzos,A Coruña,15300,981770452,CPR,43.270885,-8.204856,Privada,Si,Non
15001124,CEIP Francisco Vales Villamarín,Rúa Carregal 4,Betanzos,A Coruña,15300,881880237,CEIP,43.281532,-8.218994,Pública,Non,Si
15001136,IES Francisco Aguiar,Avenida Da Coruña 15,Betanzos,A Coruña,15300,881960165,IES,43.28249,-8.217094,Pública,Non,Si
15001148,IES As Mariñas,Avenida da Coruña s/n,Betanzos,A Coruña,15300,881880254,IES,43.283478,-8.215625,Pública,Non,Si
15001151,EMUSPR de Vedra,Santa Cruz de Ribadulla,Vedra,A Coruña,15880,981512291,EMUSPR,42.779552,-8.426632,Privada,Non,Non
15001239,CPI Armando Cotarelo Valledor,"Campo do Rosario, s/n (Gandara)",Boimorto,A Coruña,15818,981516245,CPI,43.003185,-8.131348,Pública,Non,Si
15001367,CEIP Plurilingüe de Abanqueiro,Rúa Exipto s/n,Boiro,A Coruña,15938,881866535,CEIP,42.638462,-8.85969,Pública,Non,Si
