Código,Nome,Enderezo,Concello,Provincia,CP,Telefono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15000016,CEIP Pluriling&uuml;e San Marcos,Campo da Feira s/n,Abegondo,A Coru&ntilde;a,15318,881880201,CEIP,43.229183,-8.28658,P&uacute;blica,Non,Si
15000107,CEIP A Ma&iacute;a,"R&uacute;a Peregrina, s/n (Bertamir&aacute;ns)",Ames,A Coru&ntilde;a,15220,881866002,CEIP,42.867485,-8.657342,P&uacute;blica,Non,Si
15000132,CPR Pluriling&uuml;e Alca,Lugar Bidu&iacute;do de Arriba 36,Ames,A Coru&ntilde;a,15895,981531103,CPR,42.846325,-8.600729,Privada,Si,Non
15000338,CPI As Mirandas,Avenida Celso Emilio Ferreiro 4,Ares,A Coru&ntilde;a,15624,881930020,CPI,43.429363,-8.246173,P&uacute;blica,Non,Si
15000363,CEIP Ponte dos Brozos,"Avenida Arsenio Iglesias, 34 (Sabon)",Arteixo,A Coru&ntilde;a,15142,881960506,CEIP,43.30694,-8.510333,P&uacute;blica,Non,Si
15000545,EMUSPR Presto Vivace,"R&uacute;a Posse, 37, 1&deg;",A Coru&ntilde;a,A Coru&ntilde;a,15009,981131545,EMUSPR,43.35442,-8.40064,Privada,Non,Non
15000569,CEIP San Xos&eacute; Obreiro,"Travesa de Meiras, s/n (Meicende)",Arteixo,A Coru&ntilde;a,15140,881880214,CEIP,43.345356,-8.447119,P&uacute;blica,Non,Si
15000600,CPR Pluriling&uuml;e Ntra. Sra. del Rosario,R&uacute;a Carmen 22,Arz&uacute;a,A Coru&ntilde;a,15810,981500035,CPR,42.926342,-8.164634,Privada,Si,Non
15000612,CEIP de Arz&uacute;a,R&uacute;a Baltasar Pardal s/n,Arz&uacute;a,A Coru&ntilde;a,15810,981500291,CEIP,42.929714,-8.15723,P&uacute;blica,Non,Si
15001033,CFEA de Gu&iacute;samo,Lugar de Bos 14,Bergondo,A Coru&ntilde;a,15640,881881055,CFEA,43.30938,-8.278413,P&uacute;blica,Non,Non
15001070,CPI de Cruz do Sar,R&uacute;a A Senra 33,Bergondo,A Coru&ntilde;a,15165,881960215,CPI,43.319736,-8.22662,P&uacute;blica,Non,Si
15001112,CPR Pluriling&uuml;e Nuestra Se&ntilde;ora del Carmen,Avenida de Castela 146,Betanzos,A Coru&ntilde;a,15300,981770452,CPR,43.270885,-8.204856,Privada,Si,Non
15001124,CEIP Francisco Vales Villamar&iacute;n,R&uacute;a Carregal 4,Betanzos,A Coru&ntilde;a,15300,881880237,CEIP,43.281532,-8.218994,P&uacute;blica,Non,Si
15001136,IES Francisco Aguiar,Avenida Da Coru&ntilde;a 15,Betanzos,A Coru&ntilde;a,15300,881960165,IES,43.28249,-8.217094,P&uacute;blica,Non,Si
15001148,IES As Mari&ntilde;as,Avenida da Coru&ntilde;a s/n,Betanzos,A Coru&ntilde;a,15300,881880254,IES,43.283478,-8.215625,P&uacute;blica,Non,Si
