Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
27000010,CEIP Aquilino Iglesia Alvariño,Praza do Concello s/n,Abadín,Lugo,27730,982870044,CEIP,43.363884,-7.4753647,Pública,Non,Si
27000198,CEIP Plurilingüe de Antas de Ulla,Rúa Miguel Ángel Blanco s/n,Antas de Ulla,Lugo,27570,982829210,CEIP,42.78469,-7.8900986,Pública,Non,Si
27000319,CEIP Plurilingüe Concepción López Rey,"Rúa Doutor Nogueira, s/n (O Cadavo)",Baleira,Lugo,27130,982870067,CEIP,43.013546,-7.2467546,Pública,Non,Si
27000541,CEIP San Miguel de Reinante Barreiros,O Souto s/n,Barreiros,Lugo,27793,982870085,CEIP,43.54314,-7.1920376,Pública,Non,Si
27000617,CFEA Alta Montaña,Paraxe Penamaior s/n,Becerreá,Lugo,27695,982828367,CFEA,42.863113,-7.18648,Pública,Non,Non
27000629,CEIP San Xoán,Rúa Castelo s/n,Becerreá,Lugo,27640,982828162,CEIP,42.859505,-7.1652856,Pública,Non,Si
27000897,CEIP Virxe do Corpiño,Rúa Igrexa,Begonte,Lugo,27373,982870089,CEIP,43.14884,-7.678596,Pública,Non,Si
27001087,CEIP Rosalía de Castro,Casas Novas,Bóveda,Lugo,27340,982870095,CEIP,42.629284,-7.4793634,Pública,Non,Si
27001269,ESMU Municipal de Guitiriz,Rúa Ferrol s/n,Guitiriz,Lugo,27300,982370109,ESMU,43.181458,-7.901848,Pública,Non,Non
27001440,CEIP Xosé Luís Taboada,A Barrela,Carballedo,Lugo,27520,982870140,CEIP,42.536476,-7.8115315,Pública,Non,Si
27001609,CEIP Ramón Falcón,Avenida Alcalde Emilio Sinde Nieto s/n,Castro de Rei,Lugo,27250,982870170,CEIP,43.205887,-7.3952084,Pública,Non,Si
27001816,CEIP Veleiro-Docampo,Avenida da Terra Cha (Castro Ribeiras de Lea),Castro de Rei,Lugo,27260,982828125,CEIP,43.14835,-7.490112,Pública,Non,Si
27002249,CPI Plurilingüe de Castroverde,Rúa dos Nenos s/n,Castroverde,Lugo,27120,982870175,CPI,43.03091,-7.3233757,Pública,Non,Si
27002353,CPI de Cervantes,Rúa dos Colexios s/n,Cervantes,Lugo,27664,982828940,CPI,42.86857,-7.06284,Pública,Non,Si
27002584,CEIP Plurilingüe Virxe do Carme,"Rúa das Escolas, s/n (Os Castros)",Burela,Lugo,27880,982870120,CEIP,43.66657,-7.361934,Pública,Non,Si
27002997,CPI Plurilingüe Virxe do Monte,Feira do Monte,Cospeito,Lugo,27377,982870262,CPI,43.234467,-7.559307,Pública,Non,Si
