Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
32000058,CEIP Padre Feijoo,Estrada de Xunqueira s/n,Allariz,Ourense,32660,988440825,CEIP,42.190323,-7.7943907,Pública,Non,Si
32000101,ESMU Municipal de Allariz,Praza Maior 1,Allariz,Ourense,32660,988440859,ESMU,42.189972,-7.801991,Pública,Non,Non
32000113,ESMU Municipal de Ribadavia,Rúa Redondela s/n,Ribadavia,Ourense,32400,988471900,ESMU,42.28555,-8.145397,Pública,Non,Non
32000356,CEIP Plurilingüe Ramón Otero Pedrayo,Rúa Souto S/N,Amoeiro,Ourense,32170,988788990,CEIP,42.41521,-7.946763,Pública,Non,Si
32000708,CEIP Virxe de Guadalupe,"Rúa Cendones, 15 (San Xusto)",Avión,Ourense,32520,988486178,CEIP,42.374897,-8.246699,Pública,Non,Si
32001002,CEIP Xoaquín Lourenzo Xocas,Rúa Outeiro s/n,Bande,Ourense,32840,988788025,CEIP,42.033222,-7.9718738,Pública,Non,Si
32001312,CEIP de Baños de Molgas,Estrada de Salgueiros s/n,Baños de Molgas,Ourense,32701,988430268,CEIP,42.24592,-7.6721077,Pública,Non,Si
32001658,CEIP Plurilingüe Julio Gurriarán Canalejas,Rúa Lugo 2,O Barco de Valdeorras,Ourense,32300,988320880,CEIP,42.416573,-6.992948,Pública,Non,Si
32001661,CPR Plurilingüe Divina Pastora,Rúa Ramon del Valle Inclan 2,O Barco de Valdeorras,Ourense,32300,988347058,CPR,42.41942,-6.9812107,Privada,Si,Non
32001671,CEIP Ramón Otero Pedrayo,Rúa Elena Quiroga 7,O Barco de Valdeorras,Ourense,32300,988320163,CEIP,42.411655,-6.9782176,Pública,Non,Si
32001683,IES Martaguisela,Rúa A Coruña 22,O Barco de Valdeorras,Ourense,32300,988320931,IES,42.415615,-6.9933877,Pública,Non,Si
32001725,IES Lauro Olmo,Rúa Calabagueiros s/n,O Barco de Valdeorras,Ourense,32300,988320175,IES,42.416187,-6.9951153,Pública,Non,Si
32001920,CEIP de Beariz,Avenida Carrero Blanco,Beariz,Ourense,32430,988284223,CEIP,42.471603,-8.2782135,Pública,Non,Si
32002043,CEIP Plurilingüe dos Blancos,Os Blancos,Os Blancos,Ourense,32634,988467523,CEIP,41.996124,-7.753835,Pública,Non,Si
32002122,CEIP Nosa Señora de Xuvencos,Rúa Evaristo Riande s/n,Boborás,Ourense,32514,988402022,CEIP,42.434578,-8.142138,Pública,Non,Si
32002781,CPI Tomás Terrón Mendaña,Sobradelo,Carballeda de Valdeorras,Ourense,32330,988335065,CPI,42.41678,-6.924863,Pública,Non,Si
32002951,CEIP Plurilingüe Calvo Sotelo,"Avenida de Compostela, s/n (Uceira)",O Carballiño,Ourense,32500,988271419,CEIP,42.438988,-8.0610895,Pública,Non,Si
32002973,CPR Plurilingüe Sagrado Corazón,Praza Irmans Prieto 7,O Carballiño,Ourense,32500,988270194,CPR,42.430298,-8.078636,Privada,Si,Non
32003001,IES Nº 1,Rúa Alberto Vilanova s/n,O Carballiño,Ourense,32500,988788985,IES,42.425232,-8.069909,Pública,Non,Si
32003059,CEIP San Marcos,Rúa Bandeira 1,Cartelle,Ourense,32820,988484146,CEIP,42.251507,-8.066889,Pública,Non,Si
32003503,CEIP de Castrelo de Miño,Astariz (Santa María),Castrelo de Miño,Ourense,32230,988489090,CEIP,42.322163,-8.043672,Pública,Non,Si
32003643,CPI Virxe dos Remedios,O Toural,Castro Caldelas,Ourense,32760,988203089,CPI,42.371235,-7.414661,Pública,Non,Si
32003771,CEIP Plurilingüe Curros Enríquez,Avenida Lopez Blanco s/n,Celanova,Ourense,32800,988788068,CEIP,42.159687,-7.9575725,Pública,Non,Si
32003783,CPR Plurilingüe Sagrado Corazón,Rúa Areal 13,Celanova,Ourense,32800,988431516,CPR,42.150043,-7.95967,Privada,Si,Non
32004118,CPI Antonio Faílde,Entrada Nacional 525,Coles,Ourense,32100,988202017,CPI,42.41037,-7.8655562,Pública,Non,Si
32004398,CEIP Vicente Risco,Estrada de Xinzo,Cualedro,Ourense,32689,988424005,CEIP,41.988377,-7.5950933,Pública,Non,Si
32004829,CEIP Rosalía de Castro,Rúa Rosalia de Castro,Xinzo de Limia,Ourense,32630,988460480,CEIP,42.05971,-7.7210283,Pública,Non,Si
32004830,CEIP Carlos Casares,Rúa Marcelo Macias 59,Xinzo de Limia,Ourense,32630,988788456,CEIP,42.0662,-7.7209263,Pública,Non,Si
32005305,CPI Plurilingüe Laureano Prieto,Rúa Toural,A Gudiña,Ourense,32540,988421140,CPI,42.062077,-7.1360493,Pública,Non,Si
32005408,CEIP Virxe da Pena da Sela,Campo (Santa María),O Irixo,Ourense,32530,988287411,CEIP,42.515606,-8.121452,Pública,Non,Si
32005691,CEIP Padre Crespo,Xunqueira De Ambía (Santa María A Real),Xunqueira de Ambía,Ourense,32670,988436063,CEIP,42.202892,-7.731553,Pública,Non,Si
32006000,CEIP Emilia Pardo Bazán,Leiro (San Pedro),Leiro,Ourense,32420,988488178,CEIP,42.36853,-8.12809,Pública,Non,Si
32006358,CEIP Plurilingüe do Xurés,Rúa Paraño 31,Lobios,Ourense,32870,988448007,CEIP,41.901493,-8.080761,Pública,Non,Si
32006553,CEIP de Maceda,Rúa  do Castelo 2,Maceda,Ourense,32700,988788890,CEIP,42.270493,-7.654547,Pública,Non,Si
32006747,CEIP de Manzaneda,Rúa Do Pendon s/n,Manzaneda,Ourense,32781,988333050,CEIP,42.308815,-7.232287,Pública,Non,Si
32006929,CPI Terras de Maside,Rúa OUTEIRO GRANDE,Maside,Ourense,32570,988685001,CPI,42.41701,-8.034586,Pública,Non,Si
32007272,CEIP Augusto Assía,A Mezquita,A Mezquita,Ourense,32549,988425526,CEIP,42.01526,-7.0489097,Pública,Non,Si
32007739,CEIP Valle-Inclán,"Rúa Otero Pedrayo, s/n (Mugueimes)",Muíños,Ourense,32880,988456423,CEIP,41.9572,-7.977147,Pública,Non,Si
32008033,CEIP Plurilingüe de Luíntra,Carretera de San Estevo,Nogueira de Ramuín,Ourense,32160,988201047,CEIP,42.41026,-7.7235174,Pública,Non,Si
32008173,CEIP de Oímbra,Rúa GRUPO ESCOLAR 16,Oímbra,Ourense,32613,988426201,CEIP,41.886852,-7.46427,Pública,Non,Si
32008392,CEIP Plurilingüe Inmaculada,Rúa Inmaculada 22,Ourense,Ourense,32005,988224586,CEIP,42.331547,-7.8564506,Pública,Non,Si
32008410,CPR Plurilingüe Santo Ángel,Vila Real 6,Ourense,Ourense,32002,988220487,CPR,42.33932,-7.8717227,Privada,Si,Non
32008446,CPR Concepción Arenal,Rúa BEDOYA 22,Ourense,Ourense,32004,988220200,CPR,42.33914,-7.8607073,Privada,Si,Non
32008458,CPR Plurilingüe María Auxiliadora,Praza DE DON BOSCO 1,Ourense,Ourense,32003,988370537,CPR,42.34407,-7.8677344,Privada,Si,Non
32008513,CPR Plurilingüe Santa Teresa de Jesús,Peña Trevinca 2,Ourense,Ourense,32005,988221536,CPR,42.336205,-7.861147,Privada,Si,Non
32008525,CPR Plurilingüe Divina Pastora,Rúa CARDENAL QUEVEDO 27,Ourense,Ourense,32004,988232232,CPR,42.342827,-7.8611684,Privada,Si,Non
32008550,CPR Plurilingüe San José,Rúa do Progreso 24,Ourense,Ourense,32005,988220990,CPR,42.333916,-7.8656263,Privada,Si,Non
32008604,CPR Plurilingüe Santa Maria,Rúa BEDOYA 9,Ourense,Ourense,32004,988228152,CPR,42.340458,-7.86215,Privada,Si,Non
32008616,CPR Plurilingüe Padre Feijoo Zorelle,Doutor Fleming 21,Ourense,Ourense,32003,988230401,CPR,42.337574,-7.867445,Privada,Si,Non
32008665,CPR Plurilingüe Divino Maestro,Rúa Madre Soledad 1,Ourense,Ourense,32001,988217800,CPR,42.355373,-7.864591,Privada,Si,Non
32008707,CPR Plurilingüe La Purísima,Rúa Santo Domingo 32,Ourense,Ourense,32003,988221541,CPR,42.33861,-7.863156,Privada,Si,Non
32008768,CEIP O Couto,Rampa de Sas,Ourense,Ourense,32002,988783060,CEIP,42.336475,-7.8745794,Pública,Non,Si
32008771,CEIP de Práct. da E.U. Form. Profes. EXB,Rúa VICENTE RISCO 9,Ourense,Ourense,32001,988218441,CEIP,42.3483,-7.8673587,Pública,Non,Si
32008793,CEIP Manuel Luís Acuña,Rúa do Hórreo 11,Ourense,Ourense,32002,988243751,CEIP,42.33302,-7.8751774,Pública,Non,Si
32008801,CEIP Plurilingüe Irmáns Villar,Rúa R/ PEÑA TREVINCA 41,Ourense,Ourense,32005,988788585,CEIP,42.3312,-7.861619,Pública,Non,Si
32008811,CEIP Virxe de Covadonga,Rúa Cibeles 1,Ourense,Ourense,32001,988783080,CEIP,42.357414,-7.872388,Pública,Non,Si
32008835,CEIP Curros Enríquez,Avenida SAENZ DIEZ 52,Ourense,Ourense,32003,988372043,CEIP,42.34439,-7.8630834,Pública,Non,Si
32008847,CEIP Plurilingüe Amadeo Rodríguez Barroso,Rúa Serra de San Mamede 8,Ourense,Ourense,32005,988783044,CEIP,42.32766,-7.8567696,Pública,Non,Si
32008902,CIFP A Carballeira-Marcos Valcárcel,Praza da Lexión s/n,Ourense,Ourense,32002,988788470,CIFP,42.3314,-7.874649,Pública,Non,Si
32008914,CPR Santo Cristo,Rúa San Pedro 2,Ourense,Ourense,32005,988220588,CPR,42.33639,-7.861965,Privada,Si,Non
32008941,IES Eduardo Blanco Amor,Rúa Vicente Risco 13,Ourense,Ourense,32001,988219843,IES,42.34888,-7.8653846,Pública,Non,Si
32008951,IES Ramón Otero Pedrayo,Rúa Padre Feixoo 19,Ourense,Ourense,32005,988220247,IES,42.332176,-7.8640113,Pública,Non,Si
32009050,CPR Plurilingüe San Pío X,Avenida de Zamora 98,Ourense,Ourense,32005,988221127,CPR,42.323906,-7.8634214,Privada,Si,Non
32009062,CPR Cardenal Cisneros,Emilia Pardo Bazan 21,Ourense,Ourense,32004,988225495,CPR,42.33914,-7.859226,Privada,Si,Non
32009074,CPR Seminario Menor Diocesano A Inmaculada,Estrada do Seminario 18,Ourense,Ourense,32002,988391104,CPR,42.34237,-7.8817463,Privada,Non,Non
32009116,IES 12 de Outubro,Avenida Santiago 2,Ourense,Ourense,32001,988788211,IES,42.348736,-7.86815,Pública,Non,Si
32009131,IES Universidade Laboral,Rúa Universidade 18,Ourense,Ourense,32005,988788486,IES,42.319996,-7.857633,Pública,Non,Si
